Team,Opponent,Date,Win,OffAdjusted,DefAdjusted,OffAdjusted2,DefAdjusted2
Dayton,North Florida,2018,1,111.9,100.6,103.8,104.6
Utah,Minnesota,2018,0,114.3,108.9,110.7,96.3
Minnesota,Utah,2018,1,110.7,96.3,114.3,108.9
Marist,Lehigh,2018,0,100.1,109.6,108.7,109.5
Lehigh,Marist,2018,1,108.7,109.5,100.1,109.6
USC Upstate,VMI,2018,0,92.9,111.4,102.3,112.3
VMI,USC Upstate,2018,1,102.3,112.3,92.9,111.4
IUPUI,Richmond,2018,0,103.4,105.8,106.8,110.1
Richmond,IUPUI,2018,1,106.8,110.1,103.4,105.8
Northeastern,Davidson,2018,0,111.5,102.8,108,100.2
Davidson,Northeastern,2018,1,108,100.2,111.5,102.8
Sacred Heart,Binghamton,2018,0,104.2,110.7,95.9,112.7
Binghamton,Sacred Heart,2018,1,95.9,112.7,104.2,110.7
Murray State,Alabama,2018,0,112.2,98.7,108.2,96.7
Alabama,Murray State,2018,1,108.2,96.7,112.2,98.7
Santa Clara,California,2018,0,101.8,103.8,103,110.2
California,Santa Clara,2018,1,103,110.2,101.8,103.8
UMBC,Northern Ky.,2018,0,96,101.8,109.4,102.7
Northern Ky.,UMBC,2018,1,109.4,102.7,96,101.8
UNC Greensboro,Kentucky,2018,0,106.6,97.9,118.3,90.9
Kentucky,UNC Greensboro,2018,1,118.3,90.9,106.6,97.9
Norfolk State,Kent State,2018,0,97.6,106,109.7,106.8
Kent State,Norfolk State,2018,1,109.7,106.8,97.6,106
Georgia State,Liberty,2018,0,108,102.4,110.6,99.6
Liberty,Georgia State,2018,1,110.6,99.6,108,102.4
Northern Ky.,Cincinnati,2018,0,109.4,102.7,111.7,94.6
Cincinnati,Northern Ky.,2018,1,111.7,94.6,109.4,102.7
Maine,Dartmouth,2018,0,93.1,111.8,103.3,108
Dartmouth,Maine,2018,1,103.3,108,93.1,111.8
Rutgers,Fordham,2018,0,105.6,96.3,96.5,104.4
Fordham,Rutgers,2018,1,96.5,104.4,105.6,96.3
Radford,Ohio,2018,0,108.7,104.3,98.7,100.2
Ohio,Radford,2018,1,98.7,100.2,108.7,104.3
Villanova,Penn,2018,0,116.9,98.4,104,99.8
Penn,Villanova,2018,1,104,99.8,116.9,98.4
Pepperdine,Southern Utah,2018,0,106.7,105.4,96.5,106.5
Southern Utah,Pepperdine,2018,1,96.5,106.5,106.7,105.4
Morehead State,Wright State,2018,0,102.4,109.9,106.7,102
Wright State,Morehead State,2018,1,106.7,102,102.4,109.9
San Jose State,Stanford,2018,0,91.8,113.7,103.4,98.2
Stanford,San Jose State,2018,1,103.4,98.2,91.8,113.7
Radford,Maryland,2018,0,108.7,104.3,113.9,94
Maryland,Radford,2018,1,113.9,94,108.7,104.3
Lehigh,West Virginia,2018,0,108.7,109.5,109.1,101.9
West Virginia,Lehigh,2018,1,109.1,101.9,108.7,109.5
Temple,UCF,2018,0,108.6,99.6,110.5,95.8
UCF,Temple,2018,1,110.5,95.8,108.6,99.6
Colorado State,UNLV,2018,0,107.5,108.7,105.9,106.1
UNLV,Colorado State,2018,1,105.9,106.1,107.5,108.7
Louisiana Tech,Rice,2018,0,104.8,101.8,103,110.4
Rice,Louisiana Tech,2018,1,103,110.4,104.8,101.8
South Florida,Tulsa,2018,0,102.4,97.3,104.7,100.5
Tulsa,South Florida,2018,1,104.7,100.5,102.4,97.3
Mercer,Wofford,2018,0,103.6,106.2,118.5,97.7
Wofford,Mercer,2018,1,118.5,97.7,103.6,106.2
Colorado State,Fresno State,2018,0,107.5,108.7,108.3,98.6
Fresno State,Colorado State,2018,1,108.3,98.6,107.5,108.7
Manhattan,Marist,2018,0,89.4,104.6,100.1,109.6
Marist,Manhattan,2018,1,100.1,109.6,89.4,104.6
Stephen F. Austin,Nicholls State,2018,0,95.4,108.2,98.7,111.4
Nicholls State,Stephen F. Austin,2018,1,98.7,111.4,95.4,108.2
SIU Edwardsville,Tennessee Tech,2018,0,96.6,113,89.6,104.6
Tennessee Tech,SIU Edwardsville,2018,1,89.6,104.6,96.6,113
East Carolina,Memphis,2018,0,98,107,109,97.7
Memphis,East Carolina,2018,1,109,97.7,98,107
Indiana,Maryland,2018,0,110.2,95.1,113.9,94
Maryland,Indiana,2018,1,113.9,94,110.2,95.1
Binghamton,Vermont,2018,0,95.9,112.7,108,99.3
Vermont,Binghamton,2018,1,108,99.3,95.9,112.7
Southern Miss,Old Dominion,2018,0,106.6,100.2,102,96.4
Old Dominion,Southern Miss,2018,1,102,96.4,106.6,100.2
Oregon,Arizona State,2018,0,107.8,92.6,109.9,98.6
Arizona State,Oregon,2018,1,109.9,98.6,107.8,92.6
UMKC,Grand Canyon,2018,0,101,107.2,108.1,102
Grand Canyon,UMKC,2018,1,108.1,102,101,107.2
Colorado,Utah,2018,0,107,96.5,114.3,108.9
Utah,Colorado,2018,1,114.3,108.9,107,96.5
Evansville,Drake,2018,0,99.4,104.7,107.1,102.7
Drake,Evansville,2018,1,107.1,102.7,99.4,104.7
Maine,Binghamton,2018,0,93.1,111.8,95.9,112.7
Binghamton,Maine,2018,1,95.9,112.7,93.1,111.8
Ball State,Ohio,2018,0,102.4,98.3,98.7,100.2
Ohio,Ball State,2018,1,98.7,100.2,102.4,98.3
Syracuse,Virginia Tech,2018,0,110.2,94,118.5,94.1
Virginia Tech,Syracuse,2018,1,118.5,94.1,110.2,94
Canisius,Niagara,2018,0,101.5,111.4,101.6,115.2
Niagara,Canisius,2018,1,101.6,115.2,101.5,111.4
Cleveland State,Detroit,2018,0,101.6,111.6,106.2,112.6
Detroit,Cleveland State,2018,1,106.2,112.6,101.6,111.6
Iona,Marist,2018,0,106.5,109.7,100.1,109.6
Marist,Iona,2018,1,100.1,109.6,106.5,109.7
Marshall,North Texas,2018,0,107.4,107.6,99.6,99.1
North Texas,Marshall,2018,1,99.6,99.1,107.4,107.6
Denver,Oral Roberts,2018,0,99.8,112.9,103.4,114.1
Oral Roberts,Denver,2018,1,103.4,114.1,99.8,112.9
Pacific,Saint Mary's,2018,0,99.8,104.3,114.7,97.1
Saint Mary's,Pacific,2018,1,114.7,97.1,99.8,104.3
Milwaukee,Cleveland State,2018,0,98.3,109.5,101.6,111.6
Cleveland State,Milwaukee,2018,1,101.6,111.6,98.3,109.5
Idaho State,Southern Utah,2018,0,101.9,118.2,96.5,106.5
Southern Utah,Idaho State,2018,1,96.5,106.5,101.9,118.2
Princeton,Brown,2018,0,98.7,99.7,98.7,96.9
Brown,Princeton,2018,1,98.7,96.9,98.7,99.7
Penn,Yale,2018,0,104,99.8,111.7,103.2
Yale,Penn,2018,1,111.7,103.2,104,99.8
Santa Clara,San Francisco,2018,0,101.8,103.8,111.8,101.9
San Francisco,Santa Clara,2018,1,111.8,101.9,101.8,103.8
South Florida,UCF,2018,0,102.4,97.3,110.5,95.8
UCF,South Florida,2018,1,110.5,95.8,102.4,97.3
UTSA,Southern Miss,2018,0,105.8,104.1,106.6,100.2
Southern Miss,UTSA,2018,1,106.6,100.2,105.8,104.1
West Virginia,Kansas,2018,0,109.1,101.9,112.8,92.1
Kansas,West Virginia,2018,1,112.8,92.1,109.1,101.9
Southern Utah,Portland State,2018,0,96.5,106.5,101.6,112
Portland State,Southern Utah,2018,1,101.6,112,96.5,106.5
Fairfield,Niagara,2018,0,95.8,107.3,101.6,115.2
Niagara,Fairfield,2018,1,101.6,115.2,95.8,107.3
Oklahoma,Iowa State,2018,0,109.5,94,119.1,97.3
Iowa State,Oklahoma,2018,1,119.1,97.3,109.5,94
Ohio,Kent State,2018,0,98.7,100.2,109.7,106.8
Kent State,Ohio,2018,1,109.7,106.8,98.7,100.2
Maryland,Penn State,2018,0,113.9,94,109.5,94.2
Penn State,Maryland,2018,1,109.5,94.2,113.9,94
Presbyterian,Gardner-Webb,2018,0,109.1,111.1,107.6,108.3
Gardner-Webb,Presbyterian,2018,1,107.6,108.3,109.1,111.1
UMBC,Stony Brook,2018,0,96,101.8,99.2,99.9
Stony Brook,UMBC,2018,1,99.2,99.9,96,101.8
South Carolina,Missouri,2018,0,108,98.3,106.8,97
Missouri,South Carolina,2018,1,106.8,97,108,98.3
North Dakota,South Dakota,2018,0,97.4,106.2,100.4,106.1
South Dakota,North Dakota,2018,1,100.4,106.1,97.4,106.2
Weber State,Idaho State,2018,0,101.4,106.5,101.9,118.2
Idaho State,Weber State,2018,1,101.9,118.2,101.4,106.5
NJIT,Lipscomb,2018,0,102.2,103.1,111,97.2
Lipscomb,NJIT,2018,1,111,97.2,102.2,103.1
Baylor,Kansas,2018,0,113.6,98.3,112.8,92.1
Kansas,Baylor,2018,1,112.8,92.1,113.6,98.3
USC,Colorado,2018,0,109.3,101.6,107,96.5
Colorado,USC,2018,1,107,96.5,109.3,101.6
IUPUI,Marshall,2018,0,103.4,105.8,107.4,107.6
Marshall,IUPUI,2018,1,107.4,107.6,103.4,105.8
Dayton,Colorado,2018,0,111.9,100.6,107,96.5
Colorado,Dayton,2018,1,107,96.5,111.9,100.6
Siena,Providence,2018,0,100.5,109,105,95.8
Providence,Siena,2018,1,105,95.8,100.5,109
UMKC,Iowa,2018,0,101,107.2,117.2,101.3
Iowa,UMKC,2018,1,117.2,101.3,101,107.2
Hartford,Mississippi St.,2018,0,108.4,110.6,117.5,96.7
Mississippi St.,Hartford,2018,1,117.5,96.7,108.4,110.6
Coppin State,Navy,2018,0,88.6,109.1,97.2,107.1
Navy,Coppin State,2018,1,97.2,107.1,88.6,109.1
Fresno State,TCU,2018,0,108.3,98.6,110.4,96.3
TCU,Fresno State,2018,1,110.4,96.3,108.3,98.6
UNC Asheville,Northern Ky.,2018,0,92.9,117,109.4,102.7
Northern Ky.,UNC Asheville,2018,1,109.4,102.7,92.9,117
Colgate,Syracuse,2018,0,110.1,105.8,110.2,94
Syracuse,Colgate,2018,1,110.2,94,110.1,105.8
Tennessee State,Kentucky,2018,0,98.6,109.5,118.3,90.9
Kentucky,Tennessee State,2018,1,118.3,90.9,98.6,109.5
North Alabama,Troy,2018,0,95.1,105.1,102.9,110.3
Troy,North Alabama,2018,1,102.9,110.3,95.1,105.1
Lehigh,Kansas State,2018,0,108.7,109.5,108,87.8
Kansas State,Lehigh,2018,1,108,87.8,108.7,109.5
Missouri State,Murray State,2018,0,103,103.9,112.2,98.7
Murray State,Missouri State,2018,1,112.2,98.7,103,103.9
Alabama A&M,Fordham,2018,0,86.5,109.3,96.5,104.4
Fordham,Alabama A&M,2018,1,96.5,104.4,86.5,109.3
Abilene Christ.,Pepperdine,2018,0,103.7,101.6,106.7,105.4
Pepperdine,Abilene Christ.,2018,1,106.7,105.4,103.7,101.6
New Hampshire,Seton Hall,2018,0,84.2,107.3,109.3,96.6
Seton Hall,New Hampshire,2018,1,109.3,96.6,84.2,107.3
Army,NJIT,2018,0,96.2,103,102.2,103.1
NJIT,Army,2018,1,102.2,103.1,96.2,103
UNLV,Illinois,2018,0,105.9,106.1,109.1,100.7
Illinois,UNLV,2018,1,109.1,100.7,105.9,106.1
Coppin State,UNC Greensboro,2018,0,88.6,109.1,106.6,97.9
UNC Greensboro,Coppin State,2018,1,106.6,97.9,88.6,109.1
Morehead State,Samford,2018,0,102.4,109.9,106.7,104.4
Samford,Morehead State,2018,1,106.7,104.4,102.4,109.9
Fairfield,Boston College,2018,0,95.8,107.3,107.6,102.4
Boston College,Fairfield,2018,1,107.6,102.4,95.8,107.3
Cornell,Niagara,2018,0,99.8,104.8,101.6,115.2
Niagara,Cornell,2018,1,101.6,115.2,99.8,104.8
Texas Southern,Tulane,2018,0,104,108.6,96.6,107.4
Tulane,Texas Southern,2018,1,96.6,107.4,104,108.6
Illinois State,UCF,2018,0,101.2,104.6,110.5,95.8
UCF,Illinois State,2018,1,110.5,95.8,101.2,104.6
Stetson,Longwood,2018,0,97.6,113.3,96.3,106.6
Longwood,Stetson,2018,1,96.3,106.6,97.6,113.3
UNC Wilmington,Mercer,2018,0,105.4,114.4,103.6,106.2
Mercer,UNC Wilmington,2018,1,103.6,106.2,105.4,114.4
Idaho,Santa Clara,2018,0,94.9,118.8,101.8,103.8
Santa Clara,Idaho,2018,1,101.8,103.8,94.9,118.8
Hartford,Wagner,2018,0,108.4,110.6,93.9,107.1
Wagner,Hartford,2018,1,93.9,107.1,108.4,110.6
Penn,Toledo,2018,0,104,99.8,110.1,98.1
Toledo,Penn,2018,1,110.1,98.1,104,99.8
Butler,Florida,2018,0,110.8,101.1,110.3,91.9
Florida,Butler,2018,1,110.3,91.9,110.8,101.1
Harvard,UNC,2018,0,104.8,100.4,119.9,90.8
UNC,Harvard,2018,1,119.9,90.8,104.8,100.4
Loyola Marymount,Pepperdine,2018,0,103.6,100.3,106.7,105.4
Pepperdine,Loyola Marymount,2018,1,106.7,105.4,103.6,100.3
Boston College,Virginia Tech,2018,0,107.6,102.4,118.5,94.1
Virginia Tech,Boston College,2018,1,118.5,94.1,107.6,102.4
Kentucky,Alabama,2018,0,118.3,90.9,108.2,96.7
Alabama,Kentucky,2018,1,108.2,96.7,118.3,90.9
Lafayette,Army,2018,0,101.4,112.7,96.2,103
Army,Lafayette,2018,1,96.2,103,101.4,112.7
Kansas,Iowa State,2018,0,112.8,92.1,119.1,97.3
Iowa State,Kansas,2018,1,119.1,97.3,112.8,92.1
Delaware State,Norfolk State,2018,0,84.3,113.9,97.6,106
Norfolk State,Delaware State,2018,1,97.6,106,84.3,113.9
Elon,Delaware,2018,0,99,111.1,104.8,112.9
Delaware,Elon,2018,1,104.8,112.9,99,111.1
Niagara,Fairfield,2018,0,101.6,115.2,95.8,107.3
Fairfield,Niagara,2018,1,95.8,107.3,101.6,115.2
Purdue,Michigan State,2018,0,121.1,95.1,121.8,90.5
Michigan State,Purdue,2018,1,121.8,90.5,121.1,95.1
TCU,Kansas,2018,0,110.4,96.3,112.8,92.1
Kansas,TCU,2018,1,112.8,92.1,110.4,96.3
Morehead State,Belmont,2018,0,102.4,109.9,115,101.3
Belmont,Morehead State,2018,1,115,101.3,102.4,109.9
Grand Canyon,New Mexico St.,2018,0,108.1,102,112.7,99.1
New Mexico St.,Grand Canyon,2018,1,112.7,99.1,108.1,102
Lafayette,Holy Cross,2018,0,101.4,112.7,101,107.8
Holy Cross,Lafayette,2018,1,101,107.8,101.4,112.7
Houston Baptist,Nicholls State,2018,0,102.9,112.6,98.7,111.4
Nicholls State,Houston Baptist,2018,1,98.7,111.4,102.9,112.6
Tulsa,SMU,2018,0,104.7,100.5,112,106.8
SMU,Tulsa,2018,1,112,106.8,104.7,100.5
South Dakota,Oral Roberts,2018,0,100.4,106.1,103.4,114.1
Oral Roberts,South Dakota,2018,1,103.4,114.1,100.4,106.1
Georgia State,Troy,2018,0,108,102.4,102.9,110.3
Troy,Georgia State,2018,1,102.9,110.3,108,102.4
Jacksonville,NJIT,2018,0,98.8,106.2,102.2,103.1
NJIT,Jacksonville,2018,1,102.2,103.1,98.8,106.2
Arkansas State,Texas State,2018,0,102.3,110,102.1,97.7
Texas State,Arkansas State,2018,1,102.1,97.7,102.3,110
Clemson,Florida State,2018,0,109,91.5,113,90.5
Florida State,Clemson,2018,1,113,90.5,109,91.5
Saint Louis,Duquesne,2018,0,102.5,96.4,104.4,105.3
Duquesne,Saint Louis,2018,1,104.4,105.3,102.5,96.4
Presbyterian,Campbell,2018,0,109.1,111.1,107.8,109.9
Campbell,Presbyterian,2018,1,107.8,109.9,109.1,111.1
Rider,Iona,2018,0,101.3,105.8,106.5,109.7
Iona,Rider,2018,1,106.5,109.7,101.3,105.8
Wyoming,Boise State,2018,0,95,108.7,107.2,104
Boise State,Wyoming,2018,1,107.2,104,95,108.7
UCF,Memphis,2018,0,110.5,95.8,109,97.7
Memphis,UCF,2018,1,109,97.7,110.5,95.8
NJIT,Liberty,2018,0,102.2,103.1,110.6,99.6
Liberty,NJIT,2018,1,110.6,99.6,102.2,103.1
Vanderbilt,Missouri,2018,0,102.1,101.2,106.8,97
Missouri,Vanderbilt,2018,1,106.8,97,102.1,101.2
Georgetown,Villanova,2018,0,109.2,101.9,116.9,98.4
Villanova,Georgetown,2018,1,116.9,98.4,109.2,101.9
American,Navy,2018,0,101.9,105,97.2,107.1
Navy,American,2018,1,97.2,107.1,101.9,105
Arkansas,South Carolina,2018,0,110.3,97.3,108,98.3
South Carolina,Arkansas,2018,1,108,98.3,110.3,97.3
Air Force,UNLV,2018,0,100.5,107.4,105.9,106.1
UNLV,Air Force,2018,1,105.9,106.1,100.5,107.4
Troy,Georgia State,2018,0,102.9,110.3,108,102.4
Georgia State,Troy,2018,1,108,102.4,102.9,110.3
Illinois State,Northern Iowa,2018,0,101.2,104.6,101.2,102.4
Northern Iowa,Illinois State,2018,1,101.2,102.4,101.2,104.6
Arizona State,Colorado,2018,0,109.9,98.6,107,96.5
Colorado,Arizona State,2018,1,107,96.5,109.9,98.6
UTEP,Southern Miss,2018,0,89.9,101.2,106.6,100.2
Southern Miss,UTEP,2018,1,106.6,100.2,89.9,101.2
Bradley,Drake,2018,0,101,101.4,107.1,102.7
Drake,Bradley,2018,1,107.1,102.7,101,101.4
Dartmouth,Yale,2018,0,103.3,108,111.7,103.2
Yale,Dartmouth,2018,1,111.7,103.2,103.3,108
Florida State,UNC,2018,0,113,90.5,119.9,90.8
UNC,Florida State,2018,1,119.9,90.8,113,90.5
Chicago State,Seattle,2018,0,90.3,118.3,100.8,102.3
Seattle,Chicago State,2018,1,100.8,102.3,90.3,118.3
Akron,Buffalo,2018,0,99.9,93.8,115,94.6
Buffalo,Akron,2018,1,115,94.6,99.9,93.8
Stetson,North Florida,2018,0,97.6,113.3,103.8,104.6
North Florida,Stetson,2018,1,103.8,104.6,97.6,113.3
Duke,Virginia Tech,2018,0,120.1,88.2,118.5,94.1
Virginia Tech,Duke,2018,1,118.5,94.1,120.1,88.2
Richmond,George Mason,2018,0,106.8,110.1,104.4,103.8
George Mason,Richmond,2018,1,104.4,103.8,106.8,110.1
Kent State,Bowling Green,2018,0,109.7,106.8,108.3,102.1
Bowling Green,Kent State,2018,1,108.3,102.1,109.7,106.8
Fordham,Davidson,2018,0,96.5,104.4,108,100.2
Davidson,Fordham,2018,1,108,100.2,96.5,104.4
Seton Hall,Georgetown,2018,0,109.3,96.6,109.2,101.9
Georgetown,Seton Hall,2018,1,109.2,101.9,109.3,96.6
Texas State,South Alabama,2018,0,102.1,97.7,103.1,107.5
South Alabama,Texas State,2018,1,103.1,107.5,102.1,97.7
Colorado State,New Mexico,2018,0,107.5,108.7,104,105.6
New Mexico,Colorado State,2018,1,104,105.6,107.5,108.7
Longwood,Hampton,2018,0,96.3,106.6,107.5,110.1
Hampton,Longwood,2018,1,107.5,110.1,96.3,106.6
Holy Cross,Bucknell,2018,0,101,107.8,105.5,103.7
Bucknell,Holy Cross,2018,1,105.5,103.7,101,107.8
Yale,Penn,2018,0,111.7,103.2,104,99.8
Penn,Yale,2018,1,104,99.8,111.7,103.2
Tennessee Tech,Memphis,2018,0,89.6,104.6,109,97.7
Memphis,Tennessee Tech,2018,1,109,97.7,89.6,104.6
Coppin State,Dayton,2018,0,88.6,109.1,111.9,100.6
Dayton,Coppin State,2018,1,111.9,100.6,88.6,109.1
Hofstra,Marshall,2018,0,116.3,108.7,107.4,107.6
Marshall,Hofstra,2018,1,107.4,107.6,116.3,108.7
George Washington,Virginia,2018,0,95.2,106,123.6,88.1
Virginia,George Washington,2018,1,123.6,88.1,95.2,106
Jacksonville,Grand Canyon,2018,0,98.8,106.2,108.1,102
Grand Canyon,Jacksonville,2018,1,108.1,102,98.8,106.2
Harvard,Rhode Island,2018,0,104.8,100.4,103.7,101.2
Rhode Island,Harvard,2018,1,103.7,101.2,104.8,100.4
Binghamton,Colgate,2018,0,95.9,112.7,110.1,105.8
Colgate,Binghamton,2018,1,110.1,105.8,95.9,112.7
Alcorn State,Liberty,2018,0,88.8,113.5,110.6,99.6
Liberty,Alcorn State,2018,1,110.6,99.6,88.8,113.5
Southern Utah,UNLV,2018,0,96.5,106.5,105.9,106.1
UNLV,Southern Utah,2018,1,105.9,106.1,96.5,106.5
Marist,Buffalo,2018,0,100.1,109.6,115,94.6
Buffalo,Marist,2018,1,115,94.6,100.1,109.6
Jackson State,San Diego,2018,0,89.8,104.7,105.5,98.1
San Diego,Jackson State,2018,1,105.5,98.1,89.8,104.7
Charlotte,Davidson,2018,0,95.5,106.6,108,100.2
Davidson,Charlotte,2018,1,108,100.2,95.5,106.6
Illinois,Notre Dame,2018,0,109.1,100.7,108.3,100.8
Notre Dame,Illinois,2018,1,108.3,100.8,109.1,100.7
Bowling Green,Hartford,2018,0,108.3,102.1,108.4,110.6
Hartford,Bowling Green,2018,1,108.4,110.6,108.3,102.1
Cal Poly,Fresno State,2018,0,96.9,114.6,108.3,98.6
Fresno State,Cal Poly,2018,1,108.3,98.6,96.9,114.6
Purdue,Michigan,2018,0,121.1,95.1,115.6,86.2
Michigan,Purdue,2018,1,115.6,86.2,121.1,95.1
Lipscomb,Belmont,2018,0,111,97.2,115,101.3
Belmont,Lipscomb,2018,1,115,101.3,111,97.2
UTEP,Marquette,2018,0,89.9,101.2,114.1,95.9
Marquette,UTEP,2018,1,114.1,95.9,89.9,101.2
Colgate,Penn State,2018,0,110.1,105.8,109.5,94.2
Penn State,Colgate,2018,1,109.5,94.2,110.1,105.8
Arizona,Alabama,2018,0,105,98.2,108.2,96.7
Alabama,Arizona,2018,1,108.2,96.7,105,98.2
Morehead State,Marshall,2018,0,102.4,109.9,107.4,107.6
Marshall,Morehead State,2018,1,107.4,107.6,102.4,109.9
Alcorn State,UAB,2018,0,88.8,113.5,106.5,104.6
UAB,Alcorn State,2018,1,106.5,104.6,88.8,113.5
Presbyterian,Butler,2018,0,109.1,111.1,110.8,101.1
Butler,Presbyterian,2018,1,110.8,101.1,109.1,111.1
Montana State,Denver,2018,0,107.5,115.2,99.8,112.9
Denver,Montana State,2018,1,99.8,112.9,107.5,115.2
Rider,Drake,2018,0,101.3,105.8,107.1,102.7
Drake,Rider,2018,1,107.1,102.7,101.3,105.8
Morgan State,Old Dominion,2018,0,92.6,110.6,102,96.4
Old Dominion,Morgan State,2018,1,102,96.4,92.6,110.6
Wyoming,UTEP,2018,0,95,108.7,89.9,101.2
UTEP,Wyoming,2018,1,89.9,101.2,95,108.7
Austin Peay,Arkansas,2018,0,110.8,106.7,110.3,97.3
Arkansas,Austin Peay,2018,1,110.3,97.3,110.8,106.7
New Hampshire,Dartmouth,2018,0,84.2,107.3,103.3,108
Dartmouth,New Hampshire,2018,1,103.3,108,84.2,107.3
Northern Ky.,Oakland,2018,0,109.4,102.7,107.4,109.5
Oakland,Northern Ky.,2018,1,107.4,109.5,109.4,102.7
Saint Mary's,San Francisco,2018,0,114.7,97.1,111.8,101.9
San Francisco,Saint Mary's,2018,1,111.8,101.9,114.7,97.1
Portland,Loyola Marymount,2018,0,94.3,110,103.6,100.3
Loyola Marymount,Portland,2018,1,103.6,100.3,94.3,110
Butler,Seton Hall,2018,0,110.8,101.1,109.3,96.6
Seton Hall,Butler,2018,1,109.3,96.6,110.8,101.1
Sacred Heart,Wagner,2018,0,104.2,110.7,93.9,107.1
Wagner,Sacred Heart,2018,1,93.9,107.1,104.2,110.7
TCU,Oklahoma,2018,0,110.4,96.3,109.5,94
Oklahoma,TCU,2018,1,109.5,94,110.4,96.3
North Texas,UTSA,2018,0,99.6,99.1,105.8,104.1
UTSA,North Texas,2018,1,105.8,104.1,99.6,99.1
East Carolina,UCF,2018,0,98,107,110.5,95.8
UCF,East Carolina,2018,1,110.5,95.8,98,107
Dayton,VCU,2018,0,111.9,100.6,104.3,88.7
VCU,Dayton,2018,1,104.3,88.7,111.9,100.6
James Madison,Delaware,2018,0,101,110.8,104.8,112.9
Delaware,James Madison,2018,1,104.8,112.9,101,110.8
UTEP,UAB,2018,0,89.9,101.2,106.5,104.6
UAB,UTEP,2018,1,106.5,104.6,89.9,101.2
Idaho State,Weber State,2018,0,101.9,118.2,101.4,106.5
